type,lat,lon,highway_type,destination,destination_ref,ref,name
ramp,43.7391976,-79.6285591,motorway_junction,,,17,
ramp,43.7296798,-79.6261265,motorway_junction,,,17,
ramp,43.640523,-79.5616419,motorway_junction,,,,
ramp,43.6399644,-79.5605353,motorway_junction,,,4,
ramp,43.6575981,-79.6847567,motorway_junction,,,3,
ramp,43.6676388,-79.6988598,motorway_junction,,,3;2,
ramp,43.6627319,-79.6939153,motorway_junction,,,,
ramp,43.5287654,-79.643115,motorway_junction,,,126,
ramp,43.5207245,-79.6515533,motorway_junction,,,126,
ramp,43.468032,-79.6763385,motorway_junction,,,119,
ramp,43.4032092,-80.3797582,motorway_junction,,,,
ramp,43.8436291,-79.3373563,motorway_junction,,,86,
ramp,43.8468876,-79.3230009,motorway_junction,,,86,
ramp,43.7225958,-79.7610679,motorway_junction,,,13,
ramp,43.7431945,-79.7843041,motorway_junction,,,15,
ramp,43.7352376,-79.7742214,motorway_junction,,,15,
ramp,43.7131078,-79.7483257,motorway_junction,,,12,
ramp,43.7177216,-79.7551447,motorway_junction,,,12,
ramp,43.6995177,-79.7297588,motorway_junction,,,9,
ramp,43.6883089,-79.7154122,motorway_junction,,,7,
ramp,43.5151617,-79.6993147,motorway_junction,,,106,
ramp,43.6557228,-79.6196056,motorway_junction,,,,
ramp,43.662506,-79.6081362,motorway_junction,,,,
ramp,43.5550743,-79.7676039,motorway_junction,,,28,
ramp,43.5060912,-79.6675189,motorway_junction,,,124,
ramp,43.5133783,-79.6600149,motorway_junction,,,124,
ramp,43.5491645,-79.758891,motorway_junction,,,28,
ramp,43.5336657,-79.7365357,motorway_junction,,,24,
ramp,43.5811072,-79.5856401,motorway_junction,,,134,
ramp,43.586011,-79.5805825,motorway_junction,,,134,
ramp,43.5649251,-79.6032352,motorway_junction,,,132,
ramp,43.7525709,-79.7917582,motorway_junction,,,18,
ramp,43.7551433,-79.807374,motorway_junction,,,18,
ramp,43.4275208,-79.7216581,motorway_junction,,,113,
ramp,43.7423649,-79.8367464,motorway_junction,,,21,
ramp,43.743937,-79.8262886,motorway_junction,,,21,
ramp,43.7404844,-79.8327581,motorway_junction,,,,
ramp,43.4895881,-79.7610665,motorway_junction,,,18,
ramp,43.443574,-79.7031652,motorway_junction,,,116,
ramp,43.7151205,-79.5278601,motorway_junction,,,359,
ramp,43.6931015,-79.6106263,motorway_junction,,,,
ramp,43.6854069,-79.6074381,motorway_junction,,,,
ramp,43.6858272,-79.6039134,motorway_junction,,,,
ramp,43.481514,-79.6724825,motorway_junction,,,123,
ramp,43.5715152,-79.5965313,motorway_junction,,,132,
ramp,43.6426375,-79.5616508,motorway_junction,,,,
ramp,43.8376173,-79.4208171,motorway_junction,,,77,
ramp,43.4224967,-79.8119271,motorway_junction,,,,
ramp,43.6508101,-79.5662409,motorway_junction,,,,
ramp,43.5047811,-79.7525183,motorway_junction,,,21,
ramp,43.7716325,-79.5758099,motorway_junction,,,63,
ramp,43.7769469,-79.5636375,motorway_junction,,,63,
ramp,43.833177,-79.546932,motorway_junction,,,33,
ramp,43.4104734,-80.3913231,motorway_junction,,,A,
ramp,43.4104775,-80.3920971,motorway_junction,,,,
ramp,43.4366789,-79.7114007,motorway_junction,,,,
ramp,43.4321608,-79.7159175,motorway_junction,,,,
ramp,43.6972221,-79.6076898,motorway_junction,,,,
ramp,43.6303493,-79.647215,motorway_junction,,,,
ramp,43.7594594,-79.53204,motorway_junction,,,25,
ramp,43.4865795,-80.207352,motorway_junction,,,,
ramp,43.6825561,-79.6925985,motorway_junction,,,48,
ramp,43.6925547,-79.6885052,motorway_junction,,,48,
ramp,43.6008506,-79.5644642,motorway_junction,,,136,
ramp,43.7061881,-79.5560452,motorway_junction,,,,
ramp,43.4099027,-79.7402002,motorway_junction,,,111,
ramp,43.5127744,-79.7433601,motorway_junction,,,21,
ramp,43.6170351,-79.529863,motorway_junction,,,,
ramp,43.7232764,-79.3321453,motorway_junction,,,,
ramp,43.7735156,-79.3395646,motorway_junction,,,,
ramp,43.7230565,-79.3283633,motorway_junction,,,,
ramp,43.7289838,-79.4491297,motorway_junction,,,,
ramp,43.7359125,-79.4345649,motorway_junction,,,366,
ramp,43.714794,-79.5283086,motorway_junction,,,359,
ramp,43.6224869,-79.6341663,motorway_junction,,,,
ramp,43.6341979,-79.6513871,motorway_junction,,,,
ramp,43.5504698,-79.6164916,motorway_junction,,,130,
ramp,43.6333134,-79.6769502,motorway_junction,,,,
ramp,43.6349419,-79.6729306,motorway_junction,,,342,
ramp,43.6672367,-79.5940344,motorway_junction,,,,
ramp,43.6279923,-79.5548059,motorway_junction,,,,
ramp,43.6421672,-79.3797671,motorway_junction,,,155,
ramp,43.7367686,-79.3319634,motorway_junction,,,12A,
ramp,43.8293668,-79.3642642,motorway_junction,,,26,
ramp,43.6358414,-79.669415,motorway_junction,,,342,
ramp,43.7584741,-79.3338138,motorway_junction,,,,
ramp,43.7643346,-79.3367429,motorway_junction,,,,
ramp,43.7626328,-79.3366445,motorway_junction,,,,
ramp,43.8482159,-79.3714357,motorway_junction,,,26,
ramp,43.8402703,-79.3684616,motorway_junction,,,27,
ramp,43.7813256,-79.3407965,motorway_junction,,,,
ramp,43.8158958,-79.358077,motorway_junction,,,22,
ramp,43.7757536,-79.3394044,motorway_junction,,,18,
ramp,43.7372537,-79.3322348,motorway_junction,,,12A,
ramp,43.7082113,-79.614465,motorway_junction,,,,
ramp,43.7198403,-79.5214875,motorway_junction,,,,
ramp,43.8797048,-79.5564823,motorway_junction,,,,
ramp,43.7656858,-79.3704472,motorway_junction,,,373,
ramp,43.4496664,-79.6972764,motorway_junction,,,117,
ramp,43.6865215,-79.6121741,motorway_junction,,,,
ramp,43.7951283,-79.4902572,motorway_junction,,,69,
ramp,43.8107802,-79.4796711,motorway_junction,,,73,
ramp,43.8223526,-79.4712146,motorway_junction,,,73,
ramp,43.7579808,-79.3357683,motorway_junction,,,14,
ramp,43.7413302,-79.3322728,motorway_junction,,,12B,
ramp,43.7406403,-79.3320843,motorway_junction,,,12B,
ramp,43.7206179,-79.3291998,motorway_junction,,,10,
ramp,43.7292606,-79.3307278,motorway_junction,,,11,
ramp,43.7006454,-79.3366031,motorway_junction,,,7B,
ramp,43.7017936,-79.3341355,motorway_junction,,,7B,
ramp,43.6791396,-79.3674251,motorway_junction,,,,
ramp,43.6784024,-79.3685698,motorway_junction,,,,
ramp,43.6763604,-79.5925298,motorway_junction,,,,
ramp,43.695695,-79.6093154,motorway_junction,,,,
ramp,43.6661701,-79.6949126,motorway_junction,,,,
ramp,43.8899534,-79.5587457,motorway_junction,,,,
ramp,43.6535571,-79.3491808,motorway_junction,,,,
ramp,43.6602964,-79.354674,motorway_junction,,,1,
ramp,43.6831643,-79.3619059,motorway_junction,,,3,
ramp,43.6694384,-79.5888091,motorway_junction,,,350,
ramp,43.6741092,-79.5685682,motorway_junction,,,,
ramp,43.4935828,-80.2174583,motorway_junction,,,,
ramp,43.6033133,-79.7515878,motorway_junction,,,336,
ramp,43.6273662,-79.6909409,motorway_junction,,,,
ramp,43.6356481,-79.4691291,motorway_junction,,,146,
ramp,43.7992995,-79.3447591,motorway_junction,,,20,
ramp,43.6280979,-79.6857933,motorway_junction,,,,
ramp,43.4362057,-79.7967222,motorway_junction,,,,
ramp,43.6094699,-79.5483918,motorway_junction,,,,
ramp,43.7656861,-79.6331365,motorway_junction,,,21,
ramp,43.6844717,-79.6056142,motorway_junction,,,,
ramp,43.6224595,-79.7039265,motorway_junction,,,340,
ramp,43.86542,-79.5531241,motorway_junction,,,37,
ramp,43.8213157,-79.6563559,motorway_junction,,,,
ramp,43.5038218,-79.6704517,motorway_junction,,,123,
ramp,43.6491579,-79.6732199,motorway_junction,,,2,
ramp,43.6841146,-79.3616299,motorway_junction,,,3,
ramp,43.6184697,-79.7123848,motorway_junction,,,340,
ramp,43.6967463,-79.6084706,motorway_junction,,,,
ramp,43.82276,-79.545661,motorway_junction,,,33,
ramp,43.8019992,-79.6407402,motorway_junction,,,25,
ramp,43.8111495,-79.6508945,motorway_junction,,,25,
ramp,43.7957472,-79.6390386,motorway_junction,,,23,
ramp,43.7848557,-79.6365406,motorway_junction,,,23,
ramp,43.7751662,-79.6351139,motorway_junction,,,21,
ramp,43.5463634,-79.8575353,motorway_junction,,,324,
ramp,43.5481787,-79.8547511,motorway_junction,,,,
ramp,43.5875236,-79.8112679,motorway_junction,,,,
ramp,43.6081219,-79.740749,motorway_junction,,,336,
ramp,43.5666597,-79.8339292,motorway_junction,,,328,
ramp,43.5750666,-79.8255475,motorway_junction,,,328,
ramp,43.7740326,-79.535135,motorway_junction,,,27,
ramp,43.6010966,-79.7815498,motorway_junction,,,333,
ramp,43.656447,-79.6842403,motorway_junction,,,2,
ramp,43.5262508,-79.9105305,motorway_junction,,,320,
ramp,43.6137731,-79.7243265,motorway_junction,,,,
ramp,43.6169132,-79.8138014,motorway_junction,,,,
ramp,43.5897586,-79.8142576,motorway_junction,,,,
