timestamp,latitude,longitude
137546,43.46624,-80.081688
137547,43.466354,-80.081314
137548,43.466465,-80.080925
137549,43.466572,-80.080544
137550,43.466686,-80.080154
137551,43.466801,-80.079765
137552,43.466915,-80.079369
137553,43.46703,-80.078979
137554,43.46714,-80.078583
137555,43.467247,-80.078194
137556,43.467365,-80.077789
137557,43.46748,-80.077393
137558,43.467602,-80.077003
137559,43.467716,-80.076591
137560,43.467831,-80.076195
137561,43.467941,-80.075783
137562,43.468048,-80.075378
137563,43.468163,-80.074982
137564,43.468269,-80.074585
137565,43.468376,-80.074188
137566,43.468487,-80.073799
137567,43.468594,-80.073402
137568,43.468697,-80.072998
137569,43.468807,-80.072609
137570,43.468918,-80.072205
137571,43.469028,-80.071823
137572,43.469128,-80.071434
137573,43.469234,-80.071037
137574,43.469341,-80.070656
137575,43.46944,-80.070282
137576,43.469536,-80.069885
137577,43.469639,-80.069511
137578,43.469746,-80.069138
137579,43.469849,-80.068764
137580,43.469952,-80.06839
137581,43.470055,-80.068016
137582,43.470161,-80.06765
137583,43.470268,-80.067284
137584,43.470371,-80.066902
137585,43.470482,-80.066536
137586,43.470585,-80.06617
137587,43.470688,-80.065804
137588,43.470791,-80.06543
137589,43.470886,-80.065056
137590,43.470989,-80.06469
137591,43.471088,-80.064323
137592,43.471184,-80.06395
137593,43.471275,-80.063583
137594,43.471363,-80.06321
137595,43.471443,-80.06282
137596,43.471516,-80.062447
137597,43.471577,-80.062073
137598,43.471642,-80.061691
137599,43.471687,-80.061295
137600,43.471748,-80.060913
137601,43.471802,-80.060516
137602,43.47184,-80.060127
137603,43.471882,-80.059731
137604,43.471905,-80.059334
137605,43.471924,-80.058945
137606,43.471954,-80.05854
137607,43.47197,-80.058151
137608,43.471996,-80.057755
137609,43.472008,-80.057358
137610,43.472023,-80.056969
137611,43.47205,-80.056587
137612,43.472065,-80.056206
137613,43.47208,-80.055824
137614,43.472092,-80.055443
137615,43.472107,-80.055054
137616,43.472118,-80.05468
137617,43.472137,-80.054306
137618,43.472153,-80.053917
137619,43.472168,-80.053535
137620,43.472187,-80.053154
137621,43.472202,-80.052765
137622,43.472221,-80.052376
137623,43.472237,-80.051994
137624,43.472248,-80.051605
137625,43.472263,-80.051224
137626,43.472279,-80.05085
137627,43.472294,-80.050461
137628,43.472313,-80.050072
137629,43.472321,-80.049683
137630,43.472336,-80.049286
137631,43.472351,-80.048904
